Method,Iterations,Time_seconds,Loss_P_pu,Loss_Q_pu
Newton-Raphson,4,0.0070037841796875,0.04641022915358045,-0.9216012573816623
Gauss-Seidel,44,0.002892732620239258,0.04621823285334517,-0.9224416644321355
Fast Decoupled,100,0.0039081573486328125,4.461625181477995e+130,3.624016279615685e+131
